timeframe,strategy,cagr_at_6bps,cagr_at_12bps,cagr_at_18bps,trades_per_year
1d,tsmom_L,0.7195611377559075,0.6751137898329491,0.6317896471442284,43.8
1h,tsmom_L,0.6949089071684702,0.6361397275601155,0.5793748219066792,59.0
5h,volatility_breakout_L,0.6808808525568288,0.6157052078803376,0.5530198760119567,66.2
15m,volatility_breakout_L,0.6600937297784097,0.4811923485946201,0.3214798722464931,190.6
5h,tsmom_L,0.6516500080032681,0.44925240662961974,0.271557294756946,218.6
5m,donchian_breakout_L,0.6287363691466048,0.5911746771419779,0.5544574330718204,39.0
1h,volatility_breakout_L,0.6261198635134253,0.4796633329749149,0.3463210695919734,157.8
5m,volatility_breakout_L,0.6093182125790901,0.3876024696110396,0.19632594333832043,247.8
15m,donchian_breakout_L,0.5985516164752571,0.5628114690767325,0.5278496358352032,37.8
5h,ema_crossover_adx_L,0.5831484475504709,0.5068657718612619,0.4342161776355127,82.6
5h,ema_crossover_L,0.5445435753145516,0.47362717924729547,0.40592715602806484,78.6
1d,ema_crossover_adx_L,0.5291745022260217,0.49532826284150766,0.4622114851494472,37.4
15m,tsmom_L,0.43771348134624755,0.35598087870651707,0.27884970035167367,97.8
5h,donchian_breakout_L,0.4264863037197282,0.3919680048345333,0.35826501693469215,41.0
1d,volatility_breakout_L,0.42000145556281177,0.3997572532118656,0.3797897492331448,24.0
1d,ema_crossover_L,0.38848216567495775,0.34802097564306744,0.30871556814245915,49.4
5m,tsmom_L,0.3762564028076132,0.24272198031138403,0.1220752199992321,170.6
1d,donchian_breakout_L,0.3608677474098305,0.33814671604856783,0.3157917446466514,28.2
1h,donchian_breakout_L,0.360088975329216,0.34906423073057025,0.3381223045686672,13.6
15m,ema_crossover_L,0.33716973459507926,0.29729729722620557,0.2585909017480623,50.6
5m,ema_crossover_L,0.3316774240871876,0.29196867931892356,0.2534211918810312,50.6
1h,ema_crossover_L,0.3211658505325452,0.28146381671658194,0.24293206939142165,51.0
5h,tsmom_LS,0.2966516858520316,-0.0019073590949837405,-0.23196375723942853,218.8
5h,volatility_breakout_LS,0.2442376953876837,0.2014386882459136,0.16006319251555023,29.4
15m,volatility_breakout_LS,0.2425154706187862,-0.011170109325075672,-0.21327668002445876,190.8
1d,donchian_breakout_LS,0.22676958416557125,0.20899881216200233,0.19147089618242896,19.6
1h,volatility_breakout_LS,0.21485836375208578,0.0056044462491620095,-0.167795689568495,158.0
15m,donchian_breakout_LS,0.19294174874836068,0.1751005924429232,0.1575157847889641,25.2
15m,ema_crossover_adx_L,0.18827902503427296,0.12760710459544655,0.06999931171938023,87.6
5h,donchian_breakout_LS,0.17533317312470031,0.15330211249763903,0.13166917766692166,29.2
5m,volatility_breakout_LS,0.15495252211007582,-0.1416995411304407,-0.36238368453935677,248.0
1d,rsi2_mr,0.12873923893187045,0.11885270760493172,0.10904694348616384,14.8
