n_trades,win_rate,avg_trade,profit_factor,cagr,sharpe,sortino,max_dd,exposure,worst_trade,worst_year,trades_per_year,market,source,filter,stop,cost,data_start,data_end
1191,0.5130142737195634,-0.00025859982643409714,0.9465347345443738,-0.016326082235407102,-0.12130234196585798,-0.15259464882234736,-0.47534434622983124,0.4697586963334378,-0.08367948610741564,-0.14539268450309117,45.44163271701661,SPY,github_daily,A_none,no_stop,1x,2000-01-03,2026-03-20
1191,0.49706129303106633,-0.0006585998264340972,0.869192559388484,-0.03405616764873942,-0.308931767149206,-0.390110072406353,-0.6560277463845317,0.4697586963334378,-0.08407948610741564,-0.1606989961137243,45.44163271701661,SPY,github_daily,A_none,no_stop,2x,2000-01-03,2026-03-20
1191,0.5062972292191436,-0.00029641445115560864,0.9365826465741173,-0.017220856336602308,-0.15246276453306884,-0.21461623484252282,-0.4770998285591824,0.4697586963334378,-0.06362773694139083,-0.14984043155794746,45.44163271701661,SPY,github_daily,A_none,stop_2pct,1x,2000-01-03,2026-03-20
1191,0.4903442485306465,-0.0006964144511556087,0.8571402697262546,-0.0349348450948046,-0.35820545209593735,-0.503893379775187,-0.6631337045153531,0.4697586963334378,-0.06402773694139083,-0.16473265869530185,45.44163271701661,SPY,github_daily,A_none,stop_2pct,2x,2000-01-03,2026-03-20
1191,0.5130142737195634,-0.0002688788119158608,0.9445274527932613,-0.01675091181751487,-0.12653884242615615,-0.16063233148534922,-0.4914249312486185,0.4697586963334378,-0.07098940167550676,-0.13911296462108713,45.44163271701661,SPY,github_daily,A_none,stop_5pct,1x,2000-01-03,2026-03-20
1191,0.49706129303106633,-0.0006688788119158609,0.8674216703215011,-0.0344734913664696,-0.31478549752630364,-0.4009809061201172,-0.6599015643151306,0.4697586963334378,-0.07138940167550675,-0.1545273732720014,45.44163271701661,SPY,github_daily,A_none,stop_5pct,2x,2000-01-03,2026-03-20
1191,0.5130142737195634,-0.00025859982643409714,0.9465347345443738,-0.016326082235407102,-0.12130234196585798,-0.15259464882234736,-0.47534434622983124,0.4697586963334378,-0.08367948610741564,-0.14539268450309117,45.44163271701661,SPY,github_daily,A_none,stop_10pct,1x,2000-01-03,2026-03-20
1191,0.49706129303106633,-0.0006585998264340972,0.869192559388484,-0.03405616764873942,-0.308931767149206,-0.390110072406353,-0.6560277463845317,0.4697586963334378,-0.08407948610741564,-0.1606989961137243,45.44163271701661,SPY,github_daily,A_none,stop_10pct,2x,2000-01-03,2026-03-20
352,0.4772727272727273,-0.0002507994896325966,0.9672827612312463,-0.006348415343231495,-0.04355234359875319,-0.060721596313615116,-0.33970904987023853,0.138827953619555,-0.08367948610741564,-0.12942953485895603,13.430272641805077,SPY,github_daily,E_prior_close_lt_sma180,no_stop,1x,2000-01-03,2026-03-20
352,0.4744318181818182,-0.0006507994896325967,0.9173605511227547,-0.011676880559770897,-0.11301395799446713,-0.15758072497422337,-0.38569557510630925,0.138827953619555,-0.08407948610741564,-0.1357265697639145,13.430272641805077,SPY,github_daily,E_prior_close_lt_sma180,no_stop,2x,2000-01-03,2026-03-20
352,0.4630681818181818,-0.00010205224023639427,0.9853776598899987,-0.0036067414925617935,-0.020429666511031157,-0.03458267409403693,-0.32681692448533906,0.138827953619555,-0.06359569120287249,-0.1172540244835023,13.430272641805077,SPY,github_daily,E_prior_close_lt_sma180,stop_2pct,1x,2000-01-03,2026-03-20
352,0.4602272727272727,-0.0005020522402363946,0.9302160662116981,-0.008948508115710352,-0.10050499445565168,-0.1699107287124591,-0.3801795422540881,0.138827953619555,-0.06399569120287249,-0.1236339934746199,13.430272641805077,SPY,github_daily,E_prior_close_lt_sma180,stop_2pct,2x,2000-01-03,2026-03-20
352,0.4772727272727273,-0.00029167878216834737,0.9621518208034007,-0.006863337068729769,-0.05087736020261176,-0.07218203094157628,-0.3613941188418428,0.138827953619555,-0.07098940167550676,-0.15136938983258774,13.430272641805077,SPY,github_daily,E_prior_close_lt_sma180,stop_5pct,1x,2000-01-03,2026-03-20
352,0.4744318181818182,-0.0006916787821683474,0.9126232053208894,-0.012189231916360233,-0.12064912738346487,-0.17116100967168432,-0.40587859147379823,0.138827953619555,-0.07138940167550675,-0.1575166760869927,13.430272641805077,SPY,github_daily,E_prior_close_lt_sma180,stop_5pct,2x,2000-01-03,2026-03-20
352,0.4772727272727273,-0.0002507994896325966,0.9672827612312463,-0.006348415343231495,-0.04355234359875319,-0.060721596313615116,-0.33970904987023853,0.138827953619555,-0.08367948610741564,-0.12942953485895603,13.430272641805077,SPY,github_daily,E_prior_close_lt_sma180,stop_10pct,1x,2000-01-03,2026-03-20
352,0.4744318181818182,-0.0006507994896325967,0.9173605511227547,-0.011676880559770897,-0.11301395799446713,-0.15758072497422337,-0.38569557510630925,0.138827953619555,-0.08407948610741564,-0.1357265697639145,13.430272641805077,SPY,github_daily,E_prior_close_lt_sma180,stop_10pct,2x,2000-01-03,2026-03-20
813,0.5325953259532595,-5.7658977513632426e-05,0.9831953899986701,-0.003256309332973495,-0.03302373668503382,-0.04109305901079201,-0.2136538959787737,0.320589157004074,-0.06362773694139083,-0.10721525047099068,31.01935130053275,SPY,github_daily,G_prior_close_gt_sma180_control,no_stop,1x,2000-01-03,2026-03-20
